Price,Screen Size,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Average Battery Life (in hours),Hardware Platform,Rear Webcam Resolution,Power Source,Voltage,Memory Speed,California residents,Graphics Card Ram Size,National Stock Number,Package Dimensions,Audio-out Ports (#),Battery Type,Screen Resolution Width,Screen Resolution Height
1087.88,15.6,4.1 GHz Core i7 8750H,16 GB DDR4,1000 GB 128GB PCIe M.2 SSD + 1TB (+8GB SSHD) Hybrid Drive,NVIDIA GeForce GTX 1060,nvidia,Dedicated,,,3.0,Alienware,AWm15-7830SLV-PUS,AWM15-7830SLV-PUS,Windows 10 Home,4.85 pounds,14.3 x 10.8 x 0.8 inches,14.3 x 10.8 x 0.8 inches,,Intel,6.0,DDR4 SDRAM,16.00,Solid State,5400 RPM,No Optical Drive,1 Lithium ion batteries required.,,PC,,,,,,6 GB,,,,,1920,1080
679.3,15.6,2.4 GHz Intel Core i5,8 GB DDR4,512 GB Flash Memory Solid State,NVIDIA GeForce,NVIDIA,Dedicated,Bluetooth,,2.0,Lenovo,L340 Gaming,81LK00HDUS,Windows 10,4.84 pounds,14.3 x 10 x 0.9 inches,14.29 x 10.02 x 0.94 inches,Black,Intel,1.0,SODIMM,,Solid State,7200 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,2400 MHz,,4 GB,,,,,1600,1200
139.0,11.6,2.16 GHz Celeron 3865U,4 GB SDRAM DDR3,16 GB SSD,Intel HD Graphics 400,,Integrated,"802.11bgn"","" 802.11abg",1.0,,Samsung,Chromebook (XE500C13-K04US),XE500C13-S02US-R,Chrome OS,3.65 pounds,14 x 2.5 x 11.8 inches,14 x 2.5 x 11.75 inches,Black,Intel,2.0,DDR3 SDRAM,16 GB,Solid State,,,1 Lithium Metal batteries required. (included),10 hours,PC,8 MP,,,,,,,,,,1366,768
329.99,10.5,2 GHz 8032,64 GB,64 GB,Adreno 616,,Integrated,"802.11a/b/g/n/ac"", 2.4 GHz Radio Frequency,"" 5 GHz Radio Frequency",,1.0,Samsung,"Galaxy Tab S5e 10.5"""" (T720)",SM-T720NZKAXAR,Android 9 Pie,3.68 ounces,0.2 x 6.3 x 9.7 inches,0.22 x 6.3 x 9.65 inches,Black,Qualcomm,1.0,,64 GB,,,,1 Lithium Polymer batteries required. (included),,"Android"", Android,"" Android",13 MP,,,,,,,,,,2560,1600
719.99,14.0,4.6 GHz Core i7 Family,16 GB DDR4,512 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,802.11ac,1.0,1.0,Acer,SP314-53N-77AJ,SP314-53N-77AJ,Windows 10 Home,3.75 pounds,12.9 x 9.4 x 0.8 inches,12.95 x 9.41 x 0.78 inches,,Intel,4.0,,512.00,Solid State,0.01 RPM,No Optical Drive,1 Lithium ion batteries required. (included),12 hours,,,,,,,,,,,,1920,1080
108.69,11.6,1.7 GHz Exynos 5000 Series,2 GB DDR3,16 GB flash memory solid state,ARM Mali-T604,,,"802.11abg"","" 802.11n",1.0,,Samsung,Chromebook,XE303C12-A01,Chrome OS,2.4 pounds,11.4 x 0.7 x 8.2 inches,11.4 x 0.66 x 8.21 inches,Silver,Samsung,2.0,DDR3 SDRAM,16 GB,Solid State,,,1 Lithium Polymer batteries required. (included),7 hours,PC,720 lines_per_inch,AC,110 volts,1333.00,,,,,1.0,,1366,768
299.0,15.6,2.3 GHz Pentium,8 GB DDR,500 GB HDD 5400 rpm,Integrated Intel UHD Graphics 610,Intel,,Bluetooth,,,Lenovo,lenovo ideapad s145,S145-15IWL,Windows 10 Home,4.41 pounds,9.9 x 14.3 x 0.8 inches,9.9 x 14.3 x 0.78 inches,Granite Black Texture,Intel,2.0,DDR SDRAM,,Serial ATA,,,1 Lithium Polymer batteries required. (included),5.5 hours,"business"","" school and home Laptop",,AC & Battery,,,,,,,,,1366,768
262.0,15.6,2.6 GHz AMD A6,8 GB,1 TB HDD 5400 rpm,AMD Radeon R4,amd,Dedicated,"802.11bgn"","" 802.11b",1.0,,HP,HP,HP,Windows 10,4.41 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.7 x 0.9 inches,,AMD,2.0,DDR4 SDRAM,128 GB,Solid State,,,1 Lithium Metal batteries required.,,PC,,AC & Battery,,,,,,,,,1366,768
99.99,7.0,1.3 GHz Tablet Processor,1.5 GB DDR3,8 GB Flash Memory Solid State,quad-core 1.3 GHz Snapdragon 410 processor,,Integrated,802.11abg,1.0,,Samsung,iPad Pro,SM-T280NZKAXAR,Android 5.1 Lollipop,9.8 ounces,4.3 x 0.3 x 7.3 inches,4.27 x 0.34 x 7.35 inches,Black,Samsung,4.0,,8 GB,,1 RPM,None,1 Lithium ion batteries required.,10 hours,Android,5 MP,Battery,,,,,,,,,1280,800
799.99,12.9,0.1 GHz,0.1 GB,256 GB Flash Memory Solid State,Apple A12X Bionic,,Integrated,"802.11b"", 802.11g,"" 802.11n",,,APPLE,iPad Pro,,apple iOS,1.95 pounds,11.4 x 1.9 x 8.8 inches,11.43 x 1.95 x 8.81 inches,Space Gray,Apple,1.0,,256 GB,,,,1 Lithium ion batteries required. (included),10 hours,,12 MP,Corded-Electric,,,,,,,,,2732,2048
