Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,,
$522.68	13.3 inches	1920 x 1080	2 GHz AMD A Series	8 GB	256 GB SSD	AMD Radeo Vega 8	AMD		802.11ac			Dell	DELL	DELL	Windows 10	3.84 pounds	12.7 x 8.8 x 0.7 inches	12.7 x 8.8 x 0.7 inches		AMD	4	DDR3 SDRAM	256 GB	Serial ATA			1 Lithium ion batteries required.	1920 x 1080		PC											https://www.amazon.com//Flagship-Dell-Inspiron-Touchscreen-Bluetooth/dp/B07SQLWT5W/ref=sr_1_3660?qid=1575100598&s=computers-intl-ship&sr=1-3660
$926.99	14 inches		2 GHz Ryzen 5 2500U	8 GB DDR4	256 GB Flash Memory Solid State	Intel Integrated Graphics	AMD	Integrated	802.11g		2	Lenovo	ThinkPad A485	20MU000TUS	Windows 10 Pro	3.64 pounds	13.2 x 9.2 x 0.8 inches	13.25 x 9.15 x 0.79 inches		AMD	1		8	Solid State	7200 RPM	No Optical Drive	1 Lithium ion batteries required. (included)						120 volts	2400 MHz		8 GB					https://www.amazon.com//Lenovo-A485-W10P-RYZEN5-256G/dp/B07G2LDC1H/ref=sr_1_3662?qid=1575100598&s=computers-intl-ship&sr=1-3662
$799.99	15.6 inches		1.6 GHz Intel Core i5	12 GB DDR3L	1128 GB Hybrid	intel		Integrated	802.11a			HP	hp	724393000000	Windows 10	7.05 pounds	14.2 x 9.8 x 0.8 inches	14.2 x 9.8 x 0.8 inches	Silver	Intel	4	DDR4 SDRAM	128 GB	Serial ATA			1 Lithium ion batteries required. (included)	1920x1080		PC											https://www.amazon.com//HP-Performance-Touchscreen-Quad-Core-Bluetooth/dp/B07CNNKF69/ref=sr_1_3663?qid=1575100598&s=computers-intl-ship&sr=1-3663
$324.99	14 inches	1366 x 768	2.3 GHz Pentium	8 GB	128 GB mechanical_hard_drive	Intel UHD Graphics 620	intel	Integrated	802.11b, 802.11g			HP	CF0013DX	4RU77UA	Windows 10	4.03 pounds	12.8 x 8.9 x 0.8 inches	12.76 x 8.89 x 0.78 inches		Intel	2	DDR4 SDRAM			5400 RPM		1 Lithium ion batteries required. (included)			PC				2400 MHz							https://www.amazon.com//2019-HP-14-Laptop-14-CF0013DX/dp/B07K1XM9CR/ref=sr_1_3664?qid=1575100598&s=computers-intl-ship&sr=1-3664
$579.99	15.6 inches	1366 x 768	2.7 GHz Intel Core i5	4 GB DDR	512 GB SSD	Intel HD Graphics 620 Integrated	Intel	integrated	Bluetooth, 802.11bgn	1		Dell	Dell Inspiron 15 3000	NA	Windows 10 Home	4.85 pounds	10.2 x 15 x 0.9 inches	10.2 x 15 x 0.9 inches	Black	Intel	2	DDR SDRAM	512 GB	Solid State			1 Lithium ion batteries required. (included)	HD ( 1366 x 768 ) Touchscreen	5 hours	Business Home and Student School laptop		AC & Battery									https://www.amazon.com//Dell-Inspiron-Flagship-Touchscreen-MaxxAudio/dp/B07R3XRXB6/ref=sr_1_3665?qid=1575100600&s=computers-intl-ship&sr=1-3665
$179.99			2.9 GHz Core i5-4570S	8 GB ddr3_sdram	256 GB flash_memory_solid_state	Integrated Intel HD Graphics 4600		integrated				HP	800 G1	800 G1	Windows 10 Professional	5.51 pounds	17.4 x 15.7 x 6.7 inches	17.4 x 15.7 x 6.7 inches	Black	Intel	1	DDR3 SDRAM	256 GB	Solid State		DVD				PC											https://www.amazon.com//HP-EliteDesk-800-G1-Desktop/dp/B07RKYHC83/ref=sr_1_3666?qid=1575100600&s=computers-intl-ship&sr=1-3666
$149.00	7 inches	1280 x 800	1 GHz AMD Turion 64	1 GB DRAM	16 GB	NVIDIA Tegra			Bluetooth			ASUS	Nexus 7	NEXUS7-1B16	Android 4.1 Jelly Bean	1.38 pounds	8.3 x 5.3 x 2.3 inches	8.3 x 5.3 x 2.3 inches	Black	VIA	1	DIMM	16 GB	SCSI			1 Lithium Polymer batteries required. (included)	1200x1920	9 hours	Android	3 MP	Battery									https://www.amazon.com//ASUS-Google-Nexus-Android-Tablet/dp/B00DB3SH2G/ref=sr_1_3667?qid=1575100600&s=computers-intl-ship&sr=1-3667
$217.71	10.1 inches	1280 x 800	1.44 GHz Intel Atom	2 GB DDR3	32 GB SSD	Intel HD Graphics	intel	Integrated	802.11a, Bluetooth, 802.11bgn			HP	HP 2 in 1	HP X2	Windows 10	2.5 pounds	10.3 x 7.1 x 0.9 inches	10.3 x 7.1 x 0.9 inches	Silver	Intel Atom Z8350	4	DDR3 SDRAM	32 GB	Solid State			2 Lithium Polymer batteries required.		9.5 hours	PC	5 MP	AC & Battery									https://www.amazon.com//HP-Detachable-Touchscreen-Quad-Core-Bluetooth/dp/B01MR43S2E/ref=sr_1_3668?qid=1575100600&s=computers-intl-ship&sr=1-3668
$89.99	8 inches	1280 x 800	1.3 GHz MTK 8121	2 GB	32 GB	Mali-450			802.11bgn			ALLDOCUBE	T806M	T806M	Android	12.2 ounces	8.5 x 4.8 x 0.3 inches	8.46 x 4.84 x 0.35 inches		MTK	4	DDR3 SDRAM	32 GB	USB			1 Lithium ion batteries required. (included)	1280x800	1 years	PC	2 MP										https://www.amazon.com//ALLDOCUBE-iPlay8-Tablet-Quad-core-Android/dp/B07SF5BM35/ref=sr_1_3669?qid=1575100600&s=computers-intl-ship&sr=1-3669
$389.99	22 inches		2 GHz Pentium	4 GB ddr4_sdram	1 TB HDD 7200 rpm	Intel HD Graphics		integrated				HP	22-aio	22-aio	Windows 10	11.5 ounces			Snow White	Intel	4	DDR3 SDRAM		Serial ATA	7200.00		1 Lithium Polymer batteries required.			PC								24.7 x 19 x 8.6 inches			https://www.amazon.com//HP-Touchscreen-Quad-Core-Processor-Keyboard/dp/B07K4V35DR/ref=sr_1_3670?qid=1575100600&s=computers-intl-ship&sr=1-3670
$170.00	14 inches		1.6 GHz Intel Celeron D	16 GB SDRAM DDR3	16 GB emmc	integrated_graphics	intel	Intel-HD400/IGP, Integrated	802.11ac	3		Lenovo	4541540		Chrome OS	2.48 pounds	4.4 x 5.8 x 0.6 inches	4.44 x 5.8 x 0.6 inches	Black	Intel	2	DDR3 SDRAM	16.00	Solid State			1 Lithium ion batteries required. (included)	1366x768	10 hours	PC		AC & Battery		1600 MHz							https://www.amazon.com//Lenovo-Chromebook-Dual-Core-Bluetooth-Refurbished/dp/B079XRCSXY/ref=sr_1_3671?qid=1575100600&s=computers-intl-ship&sr=1-3671
$268.70	14 inches	1366 x 768	2.6 GHz AMD A Series	4 GB	128 GB flash_memory_solid_state	AMD Radeon R4	amd	Dedicated	802.11b/g, 802.11bgn, 802.11b			ASUS	ASUS Vivobook	NA	Windows 10	4.41 pounds				AMD	2	DDR4 SDRAM	128 GB	Solid State			1 Lithium ion batteries required.	1366x768		PC								17.8 x 11.5 x 2.6 inches			https://www.amazon.com//ASUS-Vivobook-Non-Touch-Notebook-Bluetooth/dp/B07SKCXSYY/ref=sr_1_3672?qid=1575100600&s=computers-intl-ship&sr=1-3672
$455.00	15.6 inches	1920x1080	2.5 GHz Athlon 64 Single-Core TF-20	8 GB	256 GB Hybrid	Intel HD Graphics 620	Intel	Integrated	802.11ac, Bluetooth	1		Dell	Dell Inspiron	Dell Inspiron	Windows 10 Home	4.96 pounds	15 x 10.2 x 1 inches	14.96 x 10.25 x 0.99 inches		Intel	2	DDR SDRAM	256 GB	Solid State			1 Lithium ion batteries required.	1920x1080 Full HD		Home and Business Laptop		AC & Battery		2400 MHz							https://www.amazon.com//Flagship-Dell-Inspiron-Anti-Glare-Laptop/dp/B07HRY8XJH/ref=sr_1_3673?qid=1575100600&s=computers-intl-ship&sr=1-3673
$389.00	11.6 inches	HD ( 1366 x 768 ) Touch screen	2.6 GHz AMD A Series	8 GB DDR	1 TB mechanical_hard_drive	AMD Radeon R5 Graphics Integrated	Intel		Bluetooth			Dell	Dell Inspiron 11 3000	NA	Windows 10 Home	4.59 pounds	8 x 11.5 x 0.8 inches	8 x 11.5 x 0.8 inches	Gray	AMD	2	DDR SDRAM		Serial ATA			2 Lithium ion batteries required. (included)	1366x768		2 in 1 laptop		AC & Battery		2400 MHz							https://www.amazon.com//Dell-Inspiron-Touchscreen-Bluetooth-MaxxAudio/dp/B07SDLGJ6F/ref=sr_1_3674?qid=1575100600&s=computers-intl-ship&sr=1-3674
$779.99	15.6 inches	1920 x 1080 pixels	1.6 GHz Core i5 8250U	8 GB DDR4	500 GB Mechanical Hard Drive	Intel UHD Graphics 620	Intel	Integrated	802.11abg			Lenovo	Lenovo ThinkPad T580 20L9001VUS Notebook	20L9001VUS	Windows 10 Pro	4.3 pounds	14.4 x 10 x 0.8 inches	14.4 x 10 x 0.8 inches	Black	Intel	4		500.0	Serial ATA-600	7200 RPM	No Optical Drive	2 Lithium ion batteries required. (included)	1920 x 1080		Windows			120 volts	2400 MHz							https://www.amazon.com//Lenovo-T580-8GB-500GB-Only/dp/B079J4R18M/ref=sr_1_3675?qid=1575100600&s=computers-intl-ship&sr=1-3675
$528.28	15.6 inches	1 pixels	8032	DDR4	Hybrid Drive	Radeon		Integrated	802.11ac		2	Loctek	IdeaPad L340-	81LW001BUS		4.8 pounds	14.3 x 10 x 0.9 inches	14.3 x 10 x 0.9 inches			1		1 GB	Ethernet	1	DVD-RW	1 Lithium ion batteries required. (included)		5 hours			Corded-Electric				1					https://www.amazon.com//Loctek-Lenovo-Idea-81LW001BUS-L340/dp/B07NTJ9TFR/ref=sr_1_3676?qid=1575100600&s=computers-intl-ship&sr=1-3676
$1,449.94	15.6 inches	1920 x 1080	2.6 GHz Intel Core i7	32 GB	512 GB SSD	NVIDIA GeForce GTX 1660Ti	NVIDIA	dedicated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			Acer	Acer	Acer	Windows 10 Home	5.51 pounds	13 x 10 x 0.9 inches	13 x 10 x 0.9 inches		Intel	6	DDR4 SDRAM	512 GB	Serial ATA				1920 x 1080		PC											https://www.amazon.com//Acer-Predator-i7-9750H-Keyboard-Bluetooth/dp/B07VKPZSQT/ref=sr_1_3677?qid=1575100600&s=computers-intl-ship&sr=1-3677
$312.30	15.6 inches	1366 X 768	AMD A8	4 GB DDR3			amd	dedicated	802.11b, 802.11g	1		HP		J2X64UA	Windows 8;	4.81 pounds	15.2 x 10.2 x 0.9 inches	15.18 x 10.16 x 0.89 inches	Black	AMD	4	DDR3 SDRAM					1 Lithium ion batteries required.			PC											https://www.amazon.com//HP-15-f014wm-Notebook-Quad-Core-Touchscreen/dp/B00T2NHC0C/ref=sr_1_3678?qid=1575100600&s=computers-intl-ship&sr=1-3678
$1,999.99	13 inches	3000 x 2000 pixels	1.9 GHz 8032	16 GB DDR4	Flash Memory Solid State	Intel UHD Graphics 620	intel	Integrated	802.11g		2	Lenovo	Lenovo Thinkpad	20KJ0018US	Windows 10	1.96 pounds	12 x 0.3 x 8.9 inches	11.97 x 0.35 x 8.9 inches		Intel	4		512.0			No Optical Drive	1 Lithium ion batteries required. (included)						120 volts	2133 MHz							https://www.amazon.com//Lenovo-20KJ0018US-ThinkPad-X1-Tablet/dp/B07CZ3QJ8Q/ref=sr_1_3679?qid=1575100600&s=computers-intl-ship&sr=1-3679
	14 inches	1366x768	2.5 GHz Intel Core i5	8 GB SO-DIMM DDR3	256 GB SSD	Intel HD 520	Intel		802.11n, 802.11abg, 802.11bgn			Dell	Latitude 5414	Latitude Rugged 5414	Windows 10 Pro	6.3 pounds	13.6 x 9.5 x 1.7 inches	13.6 x 9.5 x 1.73 inches	Black	Intel	4	SODIMM	256 GB	Serial ATA				1366x768		PC		AC & Battery									https://www.amazon.com//Dell-Latitude-5414-Rugged-Workstation/dp/B075DFB7K2/ref=sr_1_3680?qid=1575100600&s=computers-intl-ship&sr=1-3680
$160.00	11.6 inches	1366 x 768	1.1 GHz Intel Atom	2 GB DDR3	16 GB emmc	Graphics 400	intel	Integrated	802.11ac	1	1	Sumsung	Samsung		Chrome OS	3.75 pounds			Night Charcoal	Intel	2	SDRAM	32.00	Serial ATA	5400 RPM	No Optical Drive	1 Lithium ion batteries required. (included)			PC						0.1 MB		14.1 x 13 x 2.4 inches			https://www.amazon.com//Samsung-Chromebook-Energy-efficient-Dual-Core-Bluetooth/dp/B07KRZBC2C/ref=sr_1_3681?qid=1575100602&s=computers-intl-ship&sr=1-3681
$49.99	7 inches	1024 x 600	1.2 GHz Celeron 900	1 GB	16 GB	AA3			802.11b/g, 802.11bgn, 802.11b			ZONKO	Touch		Android 7.1 Nougat	1.05 pounds	9.9 x 6.2 x 1.3 inches	9.92 x 6.22 x 1.34 inches	Pink		4		16 GB						6 hours	Android	2 MP	AC & Battery									https://www.amazon.com//Protection-Display-ZONKO-1024x600-Bluetooth/dp/B07PZBGVFH/ref=sr_1_3682?qid=1575100602&s=computers-intl-ship&sr=1-3682
$449.00	15.6 inches	1366 x 768	2.7 GHz AMD A Series	8 GB	1 TB HDD 5400 rpm	AMD Radeon R7	amd	Dedicated	802.11ac			Lenovo	Lenovo 15.6	Lenovo 15.6	Windows 10	4.85 pounds	14.9 x 10.2 x 0.9 inches	14.9 x 10.2 x 0.9 inches		AMD	4	SDRAM	1 TB	Serial ATA	5400 RPM		1 Lithium Polymer batteries required. (included)			PC											https://www.amazon.com//Lenovo-Performance-15-6-A12-9720P-Quad-Core/dp/B0776SK1S4/ref=sr_1_3683?qid=1575100602&s=computers-intl-ship&sr=1-3683
$499.00	15.6 inches	1366 x 768	1.6 GHz Intel Core i5	8 GB DDR4	256 GB SSD	Intel HD Graphics 620	Intel	Integrated	802.11bgn, Bluetooth	1		HP	HP 15-BS115DX	NotAvailable	Windows 10	4.5 pounds	15 x 10 x 0.9 inches	14.96 x 9.99 x 0.94 inches		Intel	4	DDR4 SDRAM	256 GB	Solid State			1 Lithium ion batteries required.	1366 x 768 HD Touchscreen	9.5 hours	PC		AC & Battery		2133 MHz							https://www.amazon.com//Newest-Flagship-HP-Premium-Touchscreen/dp/B07CN7D6NK/ref=sr_1_3684?qid=1575100602&s=computers-intl-ship&sr=1-3684
$669.99	1 inches		3.2 GHz AMD Ryzen 7	8 GB DDR4	256 GB Flash Memory Solid State	NVIDIA GeForce GT 730		Integrated			6	Lenovo	ThinkCentre M725s	10VT000EUS	Windows 10 Professional	13.23 pounds	11.4 x 3.6 x 13.5 inches	11.4 x 3.6 x 13.5 inches		AMD	8			Serial ATA-600	7200 RPM	DVD-RW				PC				2666 MHz		1 GB					https://www.amazon.com//Lenovo-ThinkCentre-M725s-Small-Factor/dp/B07PFFBZ8H/ref=sr_1_3685?qid=1575100602&s=computers-intl-ship&sr=1-3685
$622.74	0.01		2.1 GHz Intel Core i5	8 GB DDR4	500 GB Mechanical Hard Drive			Integrated	802.11bgn, Bluetooth		5	Dell	Optiplex	OP7060MFF1WG0D	Windows 10 Professional	2.6 pounds	7 x 1.4 x 7.2 inches	7 x 1.4 x 7.2 inches		Intel	6			Serial ATA	7200 RPM	None										8					https://www.amazon.com//Dell-OP7060MFF1WG0D-OptiPlex-i5-8500T-Hexa-core/dp/B07FB62DTB/ref=sr_1_3686?qid=1575100602&s=computers-intl-ship&sr=1-3686
$499.00	15.6 inches	1920x1080	2.1 GHz Intel Core i3	8 GB DDR4	512 GB SSD	Integrated Intel UHD 620 Graphics			802.11ac	1		Dell	Dell Inspiron	Dell Inspiron	Windows 10	4.45 pounds	15 x 10.2 x 0.8 inches	14.96 x 10.16 x 0.78 inches		Intel	2	DDR4 SDRAM		Solid State			1 Lithium ion batteries required.	1920x1080		PC		AC & Battery									https://www.amazon.com//Dell-Inspiron-LED-Backlit-Touchscreen-Wireless-AC/dp/B081HXF6TF/ref=sr_1_3687?qid=1575100602&s=computers-intl-ship&sr=1-3687
$265.00	11.6 inches	1366 x 768	1.1 GHz Celeron D	4 GB DDR3L	32 GB SSD	Intel HD Graphics 500		integrated	802.11ac			HP	HP ProBook	HP-probook-11	Chromebook	3.19 pounds	11.9 x 8.2 x 0.8 inches	11.91 x 8.19 x 0.79 inches	Black	Intel	2	DDR3 SDRAM	128 GB	Serial ATA			1 Lithium ion batteries required. (included)			PC											https://www.amazon.com//HP-1366x768-Touchscreen-business-Bluetooth/dp/B07B7PBGTG/ref=sr_1_3688?qid=1575100602&s=computers-intl-ship&sr=1-3688
$298.98	14 inches			8 GB DDR3	128 GB SSD	Intel HD Graphics 4600		Integrated	802.11n			Dell	Dell Latitude E6440	Dell Latitude E6440	Windows 10 Pro	4.67 pounds	13 x 10 x 3 inches	13 x 10 x 3 inches		Intel	2	DDR3 SDRAM	128 GB																		https://www.amazon.com//Dell-Latitude-E6440-Professional-Refurbished/dp/B0772XFM4Z/ref=sr_1_3689?qid=1575100602&s=computers-intl-ship&sr=1-3689
	15.6 inches	1920 x 1080	3.9 GHz Intel Core i5	8 GB	1 TB		intel		802.11ac			Dell			Windows 10	6.47 pounds				Intel	2	DDR DRAM		ATA	5400 RPM					PC								19.4 x 13 x 2.8 inches			https://www.amazon.com//Dell-Vostro-Intel-i5-8265U-Notebook/dp/B07VR3D1TQ/ref=sr_1_3690?qid=1575100602&s=computers-intl-ship&sr=1-3690
$629.00	15.6 inches	1366 x 768 HD	2.7 MHz Intel Core i7	16 GB DDR4	256 GB SSD	Intel HD Graphics 620	intel	Integrated	802.11bgn, Bluetooth	1		Dell	HP Inspiron	T8TJG	Windows 10 Home	4.85 pounds	15.4 x 10.2 x 0.9 inches	15.4 x 10.2 x 0.9 inches		Intel	4	DDR3 SDRAM	256 GB	Solid State			1 Lithium ion batteries required. (included)	1366 x 768		Home and Business Laptop		AC & Battery		2400 MHz							https://www.amazon.com//Flagship-Dell-Inspiron-Business-LED-Backlit/dp/B0759YSY23/ref=sr_1_3692?qid=1575100602&s=computers-intl-ship&sr=1-3692
$285.00	11.6 inches	1366 x 768 pixels	1.7 GHz 8032	4 GB	Flash Memory Solid State	Chrome		Integrated	802.11g		2	Dell	Dell Chromebook	2NN30	Chrome OS	2.7 pounds	11.9 x 8.1 x 0.8 inches	11.9 x 8.1 x 0.8 inches		Intel	1		16.0			No Optical Drive	1 Lithium ion batteries required. (included)		10 hours												https://www.amazon.com//Dell-Chromebook-Intel-Celeron-N3061/dp/B075XRG2S8/ref=sr_1_3693?qid=1575100602&s=computers-intl-ship&sr=1-3693
$819.72	15.6 inches	1366 x 768	1.6 GHz Intel Core i5	16 GB	512 GB flash_memory_solid_state	Intel UHD Graphics 620	intel	Integrated				Lenovo	Thinkpad		Windows 10	5 pounds				Intel	4	DDR4 SDRAM		Serial ATA						PC								20 x 14 x 4 inches			https://www.amazon.com//Lenovo-Anti-Glare-Widescreen-Processor-Wireless-AC/dp/B07Z8H76XJ/ref=sr_1_3694?qid=1575100602&s=computers-intl-ship&sr=1-3694
$699.00			3.2 GHz Core i7 8700	16 GB DDR4	1000 GB HDD 7200 rpm	NVIDIA GeForce GT 1030	Intel	dedicated				Dell	Inspiron	3670	Windows 10 Professional	14 pounds	11.6 x 6.3 x 14.7 inches	11.57 x 6.3 x 14.7 inches	Black With Silver Trim	Intel	6	DDR SDRAM		Serial ATA		DVD+R, DVD-R				PC				2666 MHz		2 GB					https://www.amazon.com//Dell-Inspiron-i3670-Desktop-i7-8700/dp/B07DLJK7V6/ref=sr_1_3695?qid=1575100602&s=computers-intl-ship&sr=1-3695
$369.00			1.5 GHz PowerPC G3	4 GB DDR4 SDRAM	32 GB Flash Memory Solid State	Radeon R2E	AMD	Integrated		2		HP	T530	2DH79AT#ABA	Windows 10 IOT Enterprise	2.12 pounds	1.4 x 7.9 x 7.9 inches	1.4 x 7.9 x 7.9 inches	Black	AMD	2	SDRAM	32.0	ATA		None				PC				1866 MHz							https://www.amazon.com//HP-2DH79AT-ABA-t530-Client/dp/B076N854QC/ref=sr_1_3696?qid=1575100602&s=computers-intl-ship&sr=1-3696
$736.99	15.6 inches		1.3 GHz Intel Core i7	16 GB SO-DIMM	256 GB SSD	Intel Iris Plus Graphics	Intel		802.11ac			HP	850011107607		Windows 10	3.85 pounds	14.1 x 9.5 x 0.7 inches	14.11 x 9.53 x 0.71 inches		Intel	4	DDR4 SDRAM		Solid State				1920x1080		PC		AC & Battery		2666 MHz							https://www.amazon.com//HP-Business-i7-1065G7-Graphics-1920x1080/dp/B081B9V7PR/ref=sr_1_3697?qid=1575100606&s=computers-intl-ship&sr=1-3697
$1,759.00	15.6 inches	1920 x 1080	2.6 GHz Intel Core i7	16 GB SDRAM	1 TB SSD	NVIDIA GeForce RTX 2060 Graphics 6GB GDDR6	NVIDIA	dedicated	802.11ac			ASUS	ROG	ASUS	Windows 10	8.66 pounds	14.2 x 9.9 x 0.7 inches	14.2 x 9.9 x 0.7 inches	Brushed Metallic Black	Intel	6	DDR4 SDRAM		Serial ATA				1920 x 1080	6 hours	PC	1.2 MP	AC & Battery									https://www.amazon.com//ASUS-Performance-i7-9750H-GeForce-Keyboard/dp/B07XLXGF13/ref=sr_1_3698?qid=1575100606&s=computers-intl-ship&sr=1-3698
$599.00			2.8 GHz Intel Core i5	12 GB ddr4_sdram	256 GB flash_memory_solid_state	Intel UHD Graphics 630						Dell	Inspiron		Windows 10	16.25 pounds			black	Intel		SDRAM		Serial ATA			1 Lithium ion batteries required. (included)			PC								18.9 x 15.3 x 12.7 inches			https://www.amazon.com//Dell-Inspiron-Business-Processor-Graphics/dp/B07SXRJ37T/ref=sr_1_3699?qid=1575100606&s=computers-intl-ship&sr=1-3699
$435.14	15.6 inches	1600 x 900	2.2 GHz Intel Core i3	8 GB	256 GB SSD	Intel UHD Graphics 620	intel	Integrated	802.11ac			Lenovo	Lenovo-15-256GB-SSD	Lenovo-15-256GB-SSD	Windows 10 Home	4.85 pounds	14.9 x 10.2 x 0.9 inches	14.9 x 10.2 x 0.9 inches	Black	Intel	2	DDR4 SDRAM	256 GB	Solid State			1 Lithium ion batteries required.			PC											https://www.amazon.com//Lenovo-i3-8130u-Processor-Wireless-AC-Bluetooth/dp/B07GVQ8PCR/ref=sr_1_3700?qid=1575100606&s=computers-intl-ship&sr=1-3700
$41.99	10.1 inches	1280 x 800		16 GB	16 GB	1.6						Samsung	Galaxy Tab	Galaxy Tab 10.1 Verizon	Android 3.0 (Honeycomb)	2 pounds			White								1 Lithium ion batteries required.		9 hours	Android	3 MP							14.2 x 12.3 x 3.8 inches			https://www.amazon.com//Samsung-Galaxy-Tab-Verizon-Wireless/dp/B00JRO668K/ref=sr_1_3701?qid=1575100606&s=computers-intl-ship&sr=1-3701
$1,775.99	0.01		8032	DDR4	Hybrid Drive	NVIDIA GeForce RTX 2060		dedicated			2	Acer	ACR-DG.E1BAA.005	ACR-DG.E1BAA.005		16.3 pounds	13.8 x 6.4 x 13.4 inches	13.8 x 6.4 x 13.4 inches			1		256.00	Serial ATA	0.01	None										0.01					https://www.amazon.com//Acer-Predator-Po3-600-Desktop-Computer/dp/B07TSJVKF2/ref=sr_1_3702?qid=1575100606&s=computers-intl-ship&sr=1-3702
$755.00	0.01		3.2 GHz Intel Core i7	8 GB DDR4	500 GB Mechanical Hard Drive	Integrated Graphics		Integrated		4	5	Dell	Optiplex	OP5060SFFM0D9T	Windows 10 Professional	11.57 pounds	11.5 x 3.7 x 11.4 inches	11.5 x 3.7 x 11.4 inches		Intel	6			Serial ATA	7200 RPM	DVD+RW				Windows											https://www.amazon.com//Dell-OP5060SFFM0D9T-OptiPlex-Computer-Hexa-core/dp/B07F258QWS/ref=sr_1_3703?qid=1575100606&s=computers-intl-ship&sr=1-3703
$787.89	14 inches	1920x1080	1.8 GHz Intel Core i7	8 GB SDRAM	256 GB SSD		Intel	integrated	802.11ac, Bluetooth			Lenovo	lenovo 330s 14	lenovo 330s	Windows 10	4.41 pounds	12 x 8 x 0.5 inches	12 x 8 x 0.5 inches	Platinum Grey	Intel	4	DDR4 SDRAM	256 GB	Solid State	5400.00		1 Lithium ion batteries required. (included)	1920x1080		PC		AC & Battery									https://www.amazon.com//Lenovo-Business-AntiGlare-Backlit-Keyboard-Charge-3-52lb/dp/B07Q6VQHP2/ref=sr_1_3704?qid=1575100606&s=computers-intl-ship&sr=1-3704
$1,699.00	15.6 inches	1920 x 1080	4.5 GHz 8032	DDR2	SSD	Quadro T1000 4GB	intel	Dedicated		1	1	Lenovo	Lenovo Thinkpad	20QN001YUS	Windows 10 Pro	5.51 pounds	14.9 x 9.9 x 1.2 inches	14.9 x 9.9 x 1.2 inches	Black	Intel	1		512.00	Solid State	1 RPM	No Optical Drive		1920x1080		PC				4.5 GHz		4 GB					https://www.amazon.com//Lenovo-ThinkPad-Mobile-Workstation-20QN001YUS/dp/B07VVZ8Z77/ref=sr_1_3705?qid=1575100606&s=computers-intl-ship&sr=1-3705
$697.99			3.2 GHz Core i5 6500	8 GB DDR4 SDRAM	128 GB Flash Memory Solid State	Intel HD Graphics 530	Intel	Integrated		4		HP	1FZ07UT#ABA	1FZ07UT#ABA	Windows 7 Professional	11.71 pounds	15.3 x 12.1 x 3.9 inches	15.3 x 12.1 x 3.9 inches	Black/Silver	Intel	4		256.0	Solid State		DVD-R				PC											https://www.amazon.com//HP-Elitedesk-Small-Factor-Desktop/dp/B01MUG2UC5/ref=sr_1_3707?qid=1575100606&s=computers-intl-ship&sr=1-3707
$892.59	1		8032	A8	Mechanical Hard Drive			Dedicated			2	HP	HPI-7LL84UT#ABA	HPI-7LL84UT#ABA		13.5 pounds	13.3 x 3.9 x 12.1 inches	13.3 x 3.9 x 12.1 inches			1		1.00	Serial ATA	1	None										1					https://www.amazon.com//Smart-Buy-EliteDesk-i5-9500-256GB/dp/B07W6R2H5B/ref=sr_1_3708?qid=1575100606&s=computers-intl-ship&sr=1-3708
$219.59	11.6 inches	1366 x 768	1.1 GHz Celeron N	4 GB	64 GB SSD	Intel UHD Graphics 600	Intel		802.11a			Lenovo	Lenovo 130S Gray	Lenovo 130S Gray	Windows 10 S Mode	3.59 pounds	8.3 x 4.9 x 0.3 inches	8.35 x 4.89 x 0.35 inches	Gray	Intel	2	DDR3 SDRAM	128 GB	ATA			1 Lithium ion batteries required. (included)	1366x768	8 hours	PC		AC & Battery		1.1 GHz							https://www.amazon.com//Lenovo-11-6-inch-Processor-Bluetooth-Included/dp/B07SJVT4PZ/ref=sr_1_3709?qid=1575100606&s=computers-intl-ship&sr=1-3709
$819.00	15.6 inches	1920x1080 pixels	1.7 GHz Intel Core i5	8 GB	256 GB Flash Memory Solid State	Intel UHD Graphics 620	intel	Integrated	802.11g	1	3	Dell	Dell Latitude	6K77V	Windows 10 Pro	4.1 pounds	14.8 x 9.8 x 0.8 inches	14.8 x 9.8 x 0.8 inches		Intel	1		256.0			DVD+RW	1 Lithium ion batteries required. (included)					Corded-Electric	19.5 volts								https://www.amazon.com//Dell-6K77V-Latitude-Notebook-i5-8350U/dp/B079C8Y2FB/ref=sr_1_3710?qid=1575100606&s=computers-intl-ship&sr=1-3710
